categoria,marca,presentacion,precio,tipo_cadena,cadena,unidad_presentacion
Agua,VILLAVICENCIO,1.5,70.0,Hipermercado,Hipermercado Carrefour,lt
Agua,VILLAVICENCIO,1.5,85.0,Supermercado,Hipermercado Carrefour,lt
Agua,VILLAVICENCIO,1.5,69.0,Supermercado,Hipermercado Carrefour,lt
Agua,VILLAVICENCIO,1.5,75.5,Hipermercado,Hipermercado Carrefour,lt
Agua,VILLAVICENCIO,1.5,73.0,Hipermercado,Hipermercado Carrefour,lt
Agua,VILLAVICENCIO,1.5,72.0,Hipermercado,Hipermercado Carrefour,lt
Agua,VILLAVICENCIO,1.5,88.0,Hipermercado,Hipermercado Carrefour,lt
Agua,VILLAVICENCIO,1.5,83.0,Hipermercado,Hipermercado Carrefour,lt
Agua,VILLAVICENCIO,1.5,79.0,Hipermercado,Hipermercado Carrefour,lt
Agua,VILLAVICENCIO,1.5,47.1,Hipermercado,Hipermercado Carrefour,lt
Agua,VILLAVICENCIO,1.5,73.69,Autoservicio,Supermercados DIA,lt
Agua,VILLAVICENCIO,1.5,71.0,Supermercado,Supermercados DIA,lt
Agua,VILLAVICENCIO,1.5,79.0,Supermercado,Disco,lt
Agua,VILLAVICENCIO,1.5,85.0,Supermercado,Disco,lt
Agua,VILLAVICENCIO,1.5,76.49,Supermercado,Disco,lt
Agua,VILLAVICENCIO,1.5,70.0,Supermercado,Disco,lt
Agua,VILLAVICENCIO,1.5,72.0,Hipermercado,Hipermercado Carrefour,lt
Agua,VILLAVICENCIO,1.5,84.0,Hipermercado,Hipermercado Carrefour,lt
Agua,VILLAVICENCIO,1.5,79.0,Hipermercado,Hipermercado Carrefour,lt
Agua,VILLAVICENCIO,1.5,69.0,Hipermercado,Hipermercado Carrefour,lt
Agua,VILLAVICENCIO,1.5,47.1,Hipermercado,Hipermercado Carrefour,lt
Agua,VILLAVICENCIO,1.5,73.69,Supermercado,Supermercados DIA,lt
Agua,VILLAVICENCIO,1.5,76.49,Supermercado,Disco,lt
Agua,VILLAVICENCIO,1.5,79.0,Supermercado,Disco,lt
Agua,VILLAVICENCIO,1.5,72.0,Hipermercado,Hipermercado Carrefour,lt
Agua,VILLAVICENCIO,1.5,79.0,Hipermercado,Hipermercado Carrefour,lt
Agua,VILLAVICENCIO,1.5,69.0,Hipermercado,Hipermercado Carrefour,lt
Agua,VILLAVICENCIO,1.5,70.0,Hipermercado,Hipermercado Carrefour,lt
Agua,VILLAVICENCIO,1.5,73.69,Supermercado,Supermercados DIA,lt
Agua,VILLAVICENCIO,1.5,71.0,Autoservicio,Supermercados DIA,lt
Agua,VILLAVICENCIO,1.5,85.0,Supermercado,Disco,lt
Agua,SER,1.5,50.0,Hipermercado,Hipermercado Carrefour,lt
Agua,SER,1.5,49.4,Supermercado,Hipermercado Carrefour,lt
Agua,SER,1.5,70.0,Supermercado,Hipermercado Carrefour,lt
Agua,SER,1.5,66.0,Hipermercado,Hipermercado Carrefour,lt
Agua,SER,1.5,51.0,Hipermercado,Hipermercado Carrefour,lt
Agua,SER,1.5,49.0,Supermercado,Hipermercado Carrefour,lt
Agua,SER,1.5,60.0,Hipermercado,Hipermercado Carrefour,lt
Agua,SER,1.5,56.0,Hipermercado,Hipermercado Carrefour,lt
Agua,SER,1.5,55.0,Hipermercado,Hipermercado Carrefour,lt
Agua,SER,1.5,48.4,Hipermercado,Hipermercado Carrefour,lt
Agua,SER,1.5,74.0,Hipermercado,Hipermercado Carrefour,lt
Agua,SER,1.5,68.0,Hipermercado,Hipermercado Carrefour,lt
Agua,SER,1.5,58.0,Hipermercado,Hipermercado Carrefour,lt
Agua,SER,1.5,34.6,Hipermercado,Hipermercado Carrefour,lt
Agua,SER,1.5,53.89,Autoservicio,Supermercados DIA,lt
Agua,SER,1.5,54.75,Autoservicio,Supermercados DIA,lt
Agua,SER,1.5,50.0,Supermercado,Supermercados DIA,lt
Agua,SER,1.5,54.45,Autoservicio,Supermercados DIA,lt
Agua,SER,1.5,59.0,Supermercado,Disco,lt
Agua,SER,1.5,56.09,Supermercado,Disco,lt
Agua,SER,1.5,66.0,Hipermercado,Hipermercado Carrefour,lt
Agua,SER,1.5,71.0,Hipermercado,Hipermercado Carrefour,lt
Agua,SER,1.5,55.0,Hipermercado,Hipermercado Carrefour,lt
Agua,SER,1.5,56.0,Hipermercado,Hipermercado Carrefour,lt
Agua,SER,1.5,34.6,Hipermercado,Hipermercado Carrefour,lt
Agua,SER,1.5,54.45,Supermercado,Supermercados DIA,lt
Agua,SER,1.5,53.89,Autoservicio,Supermercados DIA,lt
Agua,SER,1.5,56.09,Supermercado,Disco,lt
Agua,SER,1.5,50.0,Supermercado,Disco,lt
Agua,SER,1.5,66.0,Hipermercado,Hipermercado Carrefour,lt
Agua,SER,1.5,55.0,Hipermercado,Hipermercado Carrefour,lt
Agua,SER,1.5,56.0,Hipermercado,Hipermercado Carrefour,lt
Agua,SER,1.5,57.0,Hipermercado,Hipermercado Carrefour,lt
Agua,SER,1.5,50.0,Hipermercado,Hipermercado Carrefour,lt
Agua,SER,1.5,54.45,Supermercado,Supermercados DIA,lt
Agua,SER,1.5,54.75,Autoservicio,Supermercados DIA,lt
Agua,SER,1.5,50.0,Autoservicio,Supermercados DIA,lt
Agua,SER,1.5,59.0,Supermercado,Disco,lt
Agua,BONAQUA,1.5,63.0,Supermercado,Hipermercado Carrefour,lt
Agua,BONAQUA,1.5,56.0,Hipermercado,Hipermercado Carrefour,lt
Agua,BONAQUA,1.5,58.0,Hipermercado,Hipermercado Carrefour,lt
Agua,BONAQUA,1.5,55.0,Hipermercado,Hipermercado Carrefour,lt
Agua,BONAQUA,1.5,60.0,Supermercado,Hipermercado Carrefour,lt
Agua,BONAQUA,1.5,59.0,Hipermercado,Hipermercado Carrefour,lt
Agua,BONAQUA,1.5,47.1,Hipermercado,Hipermercado Carrefour,lt
