_id/$oid,nombre,categoria,marca,presentacion,id
5cbc69be7af152186c0cd784,Aceite de Girasol Cañuelas 1.5 Lt,Aceite,CAÑUELAS,1.5 lt,7792180001665
5cbc69be7af152186c0cd783,Aceite de Girasol Cañuelas 900 Cc,Aceite,CAÑUELAS,900.0 cc,7792180001641
5cbc69be7af152186c0cd54d,Aceite de Girasol Cocinero 1.5 Lt,Aceite,COCINERO,1.5 lt,7790060023684
5cbc69be7af152186c0cd552,Aceite de Girasol Cocinero 900 Ml,Aceite,COCINERO,900.0 ml,7790070012050
5cbc69be7af152186c0cd5e4,Aceite de Girasol Natura 1.5 Lt,Aceite,NATURA,1.5 lt,7790272001029
5cbc69be7af152186c0cd5e5,Aceite de Girasol Natura 500 Ml,Aceite,NATURA,500.0 ml,7790272001050
5cbc69be7af152186c0cd5e3,Aceite de Girasol Natura 900 Ml,Aceite,NATURA,900.0 ml,7790272001005
5cbc69be7af152186c0cd5e0,Aceite de Maiz Mazola 900 Ml,Aceite,MAZOLA,900.0 ml,7790272000794
5cbc69be7af152186c0cd5df,Aceite Mezcla Girasol y Oliva Blend Natura 900 Ml,Aceite,NATURA,900.0 ml,7790272000046
5cbc69be7af152186c0cd55b,Aceite Rocio Vegetal Clasico Aerosol Cocinero 120 Gr,Aceite,COCINERO,120.0 gr,7790070228666
5cbc69be7af152186c0cd5e1,Aceite Rocio Vegetal Girasol en Aerosol Natura 120 Cc,Aceite,NATURA,126.0 cc,7790272000831
5cbc69be7af152186c0cd54c,Aceite de Oliva Comestible Cocinero 500 Ml,Aceite de oliva,COCINERO,500.0 ml,7790060009329
5cbc69be7af152186c0cd5e2,Aceite de Oliva Extra Virgen Seleccion Especial Natura 500 Ml,Aceite de oliva,NATURA,500.0 ml,7790272000961
5cbc69be7af152186c0cd813,Ketchup con Tomate Hellmanns 250 Gr,Aderezos,HELLMANN'S,250.0 gr,7794000960275
5cbc69be7af152186c0cd812,Ketchup con Tomate Hellmanns 500 Gr,Aderezos,HELLMANN'S,500.0 gr,7794000960244
5cbc69be7af152186c0cd76e,Ketchup Natura 250 Gr,Aderezos,NATURA,250.0 gr,7791866000381
5cbc69be7af152186c0cd772,Mayonesa con Aceite de Oliva Mayoliva 227 Gr,Aderezos,MAYOLIVA,237.0 gr,7791866003283
5cbc69be7af152186c0cd80f,Mayonesa Doypack Hellmann's 237 Gr,Aderezos,HELLMANN'S,237.0 gr,7794000960107
5cbc69be7af152186c0cd80e,Mayonesa Doypack Hellmann's 475 Gr,Aderezos,HELLMANN'S,475.0 gr,7794000960091
5cbc69be7af152186c0cd76f,Mayonesa Doypack Natura 237 Gr,Aderezos,NATURA,237.0 gr,7791866001203
5cbc69be7af152186c0cd771,Mayonesa Doypack Natura 500 Ml,Aderezos,NATURA,500.0 ml,7791866001364
5cbc69be7af152186c0cd770,Mayonesa Doypack Natura 950 Gr,Aderezos,NATURA,950.0 gr,7791866001357
5cbc69be7af152186c0cd7d0,Mayonesa Light Doypack BC La Campagnola 500 Gr,Aderezos,BC,475.0 gr,7793360674105
5cbc69be7af152186c0cd811,Mayonesa Light Doypack Hellmanns 237 Gr,Aderezos,HELLMANN'S,237.0 gr,7794000960145
5cbc69be7af152186c0cd810,Mayonesa Light Doypack Hellmanns 475 Gr,Aderezos,HELLMANN'S,475.0 gr,7794000960138
5cbc69be7af152186c0cd773,Mostaza Doypack Natura 250 Gr,Aderezos,NATURA,250.0 gr,7791866004211
5cbc69be7af152186c0cd815,Mostaza Original Doypack Savora 250 Gr,Aderezos,SAVORA,250.0 gr,7794000960435
5cbc69be7af152186c0cd814,Salsa Golf sin TACC Hellmanns 250 Gr,Aderezos,HELLMANN'S,250.0 gr,7794000960329
5cbc69be7af152186c0cd5b0,Vinagre de Alcohol Menoyo 1 Lt,Aderezos,MENOYO,1.0 lt,7790130000058
5cbc69be7af152186c0cd5af,Vinagre de Alcohol Menoyo 500 Cc,Aderezos,MENOYO,500.0 cc,7790130000034
5cbc69be7af152186c0cd5ae,Vinagre de Manzana Menoyo 500 Cc,Aderezos,MENOYO,500.0 cc,7790130000027
5cbc69be7af152186c0cd5b1,Vinagre de Vino Menoyo 500 Cc,Aderezos,MENOYO,500.0 cc,7790130000065
5cbc69be7af152186c0cd83c,Agua Mineral con Gas Villavicencio 1.5 Lt,Agua,VILLAVICENCIO,1.5 lt,7798062547788
5cbc69be7af152186c0cd5f5,Agua Mineral sin Gas Bajo Sodio Ser 1.5 Lt,Agua,SER,1.5 lt,7790315058706
5cbc69be7af152186c0cd692,Agua Mineral sin Gas Bonaqua 1.5 Lt,Agua,BONAQUA,1.5 lt,7790895003875
5cbc69be7af152186c0cd691,Agua Mineral sin Gas Bonaqua 500 Cc,Agua,BONAQUA,500.0 cc,7790895003868
5cbc69be7af152186c0cd7a7,Agua Mineral sin Gas Eco de Los Andes 500 Cc,Agua,ECO DE LOS ANDES,500.0 cc,7792799000011
5cbc69be7af152186c0cd6a0,Agua Mineral sin Gas en Bidon Kin 6 Lt,Agua,KIN,6.0 lt,7790895009679
5cbc69be7af152186c0cd7a8,Agua Mineral sin Gas en Bidon Nestle 6.3 Lt,Agua,NESTLÉ,6.3 lt,7792799001032
5cbc69be7af152186c0cd837,Agua Mineral sin Gas en Bidon Villa del Sur 6.25 Lt,Agua,VILLA DEL SUR,6.25 lt,7798062541397
5cbc69be7af152186c0cd681,Agua Mineral sin Gas Kin 500 Cc,Agua,KIN,500.0 cc,7790895000201
5cbc69be7af152186c0cd83b,Agua Mineral sin Gas Villa del Sur 2.25 Lt,Agua,VILLA DEL SUR,2.25 lt,7798062547559
5cbc69be7af152186c0cd5ef,Agua Mineral sin Gas Villavicencio 1.5 Lt,Agua,VILLAVICENCIO,1.5 lt,7790315000439
5cbc69be7af152186c0cd5ee,Agua Mineral sin Gas Villavicencio 2 Lt,Agua,VILLAVICENCIO,2.0 lt,7790315000422
5cbc69be7af152186c0cd5f0,Agua Mineral sin Gas Villavicencio 500 Cc,Agua,VILLAVICENCIO,500.0 cc,7790315000446
5cbc69be7af152186c0cd7b5,Agua Mineralizada sin Gas Glaciar 1.5 Lt,Agua,GLACIAR,1.5 lt,7792931000022
5cbc69be7af152186c0cd7b6,Agua Mineralizada sin Gas Glaciar 2 Lt,Agua,GLACIAR,2.0 lt,7792931000039
5cbc69be7af152186c0cd586,Arroz Carnaroli Risotto Primavera Gallo 200 Gr,Arroz,GALLO,200.0 gr,7790070411761
5cbc69be7af152186c0cd584,Arroz Doble Carolina Gallo 1 Kg,Arroz,GALLO,1.0 kg,7790070411723
5cbc69be7af152186c0cd583,Arroz Gallo Oro 1 Kg,Arroz,GALLO,1.0 kg,7790070411716
5cbc69be7af152186c0cd6d5,Arroz Largo Fino 00000 en Bolsa Molinos Ala 1 Kg,Arroz,MOLINOS ALA,1.0 kg,7791120031557
5cbc69be7af152186c0cd57a,Arroz Largo Fino en Bolsa Lucchetti 1 Kg,Arroz,LUCCHETTI,1.0 kg,7790070410603
5cbc69be7af152186c0cd587,Arroz Parbolizado Lucchetti 1 Kg,Arroz,LUCCHETTI,1.0 kg,7790070411815
5cbc69be7af152186c0cd588,Arroz Parbolizado Lucchetti 500 Gr,Arroz,LUCCHETTI,500.0 gr,7790070411822
5cbc69be7af152186c0cd574,Vitina Lucchetti 540 Gr,Bebes y niños,VITINA,540.0 gr,7790070318879
5cbc69be7af152186c0cd824,Leche Infantil Nutrilon Profutura Premium 1 200 Ml,Bebes y niños,NUTRILÓN,200.0 ml,7795323002468
5cbc69be7af152186c0cd825,Leche Infantil Nutrilon Profutura Premium 2 200 Ml,Bebes y niños,NUTRILÓN,200.0 ml,7795323002475
5cbc69be7af152186c0cd826,Leche Infantil Nutrilon Profutura Premium 3 200 Ml,Bebes y niños,NUTRILÓN,200.0 ml,7795323002482
5cbc69be7af152186c0cd859,Leche Infantil Sancor Bebe 4 1 Lt,Bebes y niños,SANCOR,1.0 lt,7798176001077
5cbc69be7af152186c0cd854,Leche Infantil Sancor EnfaBebe Premium 2 200 Ml,Bebes y niños,SANCOR,200.0 ml,7798176000599
5cbc69be7af152186c0cd855,Leche Infantil UAT Larga Vida Nutricion Completa Sancor Bebe 1 200 Ml,Bebes y niños,SANCOR,200.0 ml,7798176000841
5cbc69be7af152186c0cd858,Leche Infantil UAT Larga Vida Nutricion Completa Sancor Bebe 1 500 Ml,Bebes y niños,SANCOR,500.0 ml,7798176000872
5cbc69be7af152186c0cd856,Leche Infantil UAT Larga Vida Nutricion Completa Sancor Bebe 2 200 Ml,Bebes y niños,SANCOR,200.0 ml,7798176000858
5cbc69be7af152186c0cd852,Leche Infantil UAT Larga Vida Nutricion Completa Sancor Bebe 3 1 Lt,Bebes y niños,SANCOR,1.0 lt,7798176000384
5cbc69be7af152186c0cd857,Leche Infantil UAT Larga Vida Nutricion Completa Sancor Bebe 3 200 Cc,Bebes y niños,SANCOR,200.0 cc,7798176000865
5cbc69be7af152186c0cd853,Leche Sancor EnfaBebe Premium 1 200 Ml,Bebes y niños,SANCOR,200.0 ml,7798176000582
5cbc69be7af152186c0cd81d,Pañal G Active Sec Huggies 24 Un,Bebes y niños,HUGGIES,24.0 un,7794626008832
5cbc69be7af152186c0cd4b5,Pañal G Confort Sec Pampers 22 Un,Bebes y niños,PAMPERS,22.0 un,7500435112758
5cbc69be7af152186c0cd4b4,Pañal M Confort Sec Pampers 26 Un,Bebes y niños,PAMPERS,26.0 un,7500435112741
5cbc69be7af152186c0cd4b3,Pañal P Confort Sec Pampers 30 Un,Bebes y niños,PAMPERS,30.0 un,7500435112734
5cbc69be7af152186c0cd4b6,Pañal XG Confort Sec Pampers 18 Un,Bebes y niños,PAMPERS,18.0 un,7500435112765
5cbc69be7af152186c0cd81a,Toallitas Humedas Clasico y Cotidiano Huggies 48 Un,Bebes y niños,HUGGIES,48.0 un,7794626007170
